id,id_rio,lung,sup,larg_md,larg_min,id_int_nord,id_int_sud
2TOR01,2TOR,18.39,107.02,5.8,5.4,II0485,II0490
2TOR02,2TOR,49.32,291.77,5.9,3.6,II0490,II0505
ACCA01,GRAN,16.6,83.55,5.1,4.9,II1190,II1215
ACCA02,GRAN,10.49,75.93,7.2,7.1,II1220,II1260
ACQU01,ACQU,65.32,537.83,8.2,6.6,II0215,II0270
ACQU02,ACQU,41.04,448.02,10.9,10.6,II0270,II0295
ACQU03,ACQU,53.45,602.44,11.3,9.2,II0295,II0325
AGOS01,AGOS,130.1,1523.22,11.7,6.4,II0475,II0580
ALBO01,ALBO,168.91,1073.33,6.4,4.6,II1090,II1275
ALVI01,ALVI,468.72,7142.44,15.2,9.4,IE0005,II0035
AMAL01,AMAL,25.7,143.19,5.6,5.2,II0635,II0640
ANA001,ANA,74.33,854.58,11.5,9.8,II1175,II1195
ANA002,ANA,101.44,824.19,8.1,6,II1195,II1200
ANA003,ANA,23.66,207.1,8.7,8,II1200,II1205
ANDR01,ANDR,72.11,567.63,7.9,6.2,II0225,II0255
ANDR02,ANDR,37.32,309.77,8.3,7,II0255,II0270
ANTO01,ANTO,263.23,2876.71,10.9,7.6,II0630,II0870
ANZO01,ANZO,74.57,459.73,6.2,4.6,II0970,II1005
ANZO02,ANZO,34.22,176.82,5.2,3,II1005,II1025
APON01,APON,59.56,389.22,6.5,4.6,II0550,II0590
APON02,APON,35.09,198.72,5.7,4.2,II0590,II0600
APOS01,APOS,50.57,460.18,9.1,8,II0300,II0330
APOS02,APOS,50.24,448.93,8.9,8,II0330,II0365
APOS03,APOS,133.63,1114.02,8.3,3.2,II0365,II0385
APOS04,APOS,162.54,1288.7,7.9,4.4,II0385,II0420
ARSE01,ARSE,261.94,3907.16,14.9,11.6,II0985,IE1180
ARZE01,ARZE,104.21,2108.77,20.2,15.4,II0560,II0670
ARZE02,ARZE,60.06,909.2,15.1,12.4,II0670,II0725
ARZE03,ARZE,55.64,2180.03,39.2,16.6,II0725,II0765
ARZE04,ARZE,108.89,2411.83,22.1,16,II0765,II0885
AVOG01,AVOG,185.82,1646.41,8.9,5.6,II1080,II1185
BACI01,BACI,273.6,93212.02,340.69,0,0,0
BACI02,BACI,68.7,29737.48,432.86,0,0,0
BACI03,BACI,96.3,33438.22,347.23,0,0,0
BACI04,BACI,78.2,26883.06,343.77,0,0,0
BACI05,BACI,228.8,88555.54,387.04,0,0,0
